Loan_ID,Loan_Amount,Loan_Term,Interest_Rate,Age,Income,Credit_Score,Loan_Status
L001,25190.45940342822,36,8.56,40,7809,467,0
L002,24558.19790476361,48,3.0,22,7613,808,1
L003,33732.441283345994,12,3.93,42,10457,810,1
L004,35851.80763346155,60,7.63,41,11114,545,0
L005,39558.279378184176,36,6.33,26,12263,523,0
L006,34596.96210805067,24,5.9,52,10725,640,1
L007,25729.172006882247,36,3.0,26,7976,836,1
L008,45726.05481413689,24,4.27,33,14175,739,1
L009,11912.967931471432,24,3.0,21,3693,843,1
L010,13067.812913726177,12,8.38,42,4051,449,0
L011,44780.88839011276,12,5.24,44,13882,655,1
L012,42009.90559749593,36,3.36,61,13023,832,1
L013,46835.73826077274,60,5.27,50,14519,672,1
L014,15871.053946070795,36,5.13,42,4920,711,1
L015,22080.765093669634,48,7.53,64,6845,551,1
L016,19893.65644012573,24,9.27,32,6167,313,0
L017,26551.757119940794,24,7.39,46,8231,514,0
L018,21364.63217171278,12,3.34,24,6623,835,1
L019,35732.45214646874,60,9.27,39,11077,319,0
L020,28213.05646592178,12,3.79,36,8746,787,1
L021,26254.981314445162,48,3.52,32,8139,735,1
L022,11154.899297868456,36,5.73,53,3458,620,0
L023,18693.649922252083,36,8.78,41,5795,351,0
L024,43055.0725646762,60,6.15,56,13347,656,1
L025,17451.707692732318,12,5.25,29,5410,647,1
L026,19432.363612018387,12,5.2,59,6024,625,1
L027,26674.338430906384,48,3.36,62,8269,826,1
L028,8264.561018258817,36,7.77,28,2562,518,0
L029,26103.367587724566,12,3.07,40,8092,821,1
L030,29006.609163225323,60,5.52,30,8992,704,1
L031,45864.76524496637,36,9.3,52,14218,318,0
L032,29058.222346789782,48,6.68,48,9008,593,1
L033,31600.171637339332,60,8.93,30,9796,314,0
L034,24706.585807511427,24,4.94,28,7659,625,1
L035,26077.56099594234,48,8.39,53,8084,457,0
L036,16035.570968682505,60,8.32,33,4971,403,0
L037,7561.331392193078,12,6.15,64,2344,581,0
L038,27777.57022959667,24,8.2,55,8611,446,0
L039,29432.4179276321,48,4.44,49,9124,813,1
L040,26722.72579049806,12,8.38,25,8284,367,0
L041,15212.985855623958,24,3.19,23,4716,803,1
L042,41516.3545296608,36,9.32,57,12870,368,0
L043,38271.17561304551,12,5.13,61,11864,712,1
L044,24709.811631484205,60,9.5,26,7660,363,0
L045,29780.806916692192,48,7.12,62,9232,536,0
L046,42964.7494934384,24,5.11,36,13319,695,0
L047,22235.604644363008,12,7.45,55,6893,438,0
L048,45629.28009495354,36,6.61,38,14145,615,1
L049,10061.344971096507,48,3.62,31,3119,722,1
L050,39045.37336651238,48,8.07,43,12104,431,0
L051,42561.52149684107,12,6.49,31,13194,525,0
L052,13748.461771982466,36,3.18,49,4262,772,1
L053,8845.209333358967,24,8.05,62,2742,417,0
L054,46274.44488950926,12,5.96,47,14345,638,1
L055,22583.993633423095,24,4.64,29,7001,718,1
L056,40787.31831181283,48,5.2,55,12644,734,1
L057,23558.192473202238,24,7.85,29,7303,478,0
L058,41806.67868721087,36,3.62,38,12960,761,1
L059,30096.937666024496,60,8.62,64,9330,403,0
L060,8974.242292270112,36,7.92,41,2782,413,0
L061,6761.327046943981,24,5.86,56,2096,570,0
L062,34767.93077860793,12,6.97,21,10778,605,1
L063,27938.8614282356,48,9.14,47,8661,354,0
L064,47832.517868361334,60,3.64,60,14828,823,1
L065,22293.669475873023,12,5.21,58,6911,733,1
L066,13671.041996635779,12,7.16,49,4238,489,0
L067,35832.45268962488,36,5.6,60,11108,688,0
L068,17254.932430392822,24,6.28,39,5349,634,0
L069,41219.57872416516,36,6.21,44,12778,645,1
L070,46361.54213677428,24,5.95,64,14372,564,1
L071,14477.497989830432,36,9.51,21,4488,403,0
L072,18687.198274306527,12,7.67,56,5793,440,0
L073,31667.91394076768,48,7.45,43,9817,538,0
L074,15603.31055633017,24,3.84,33,4837,729,1
L075,14148.463944607014,60,9.51,50,4386,397,0
L076,30309.842048227885,60,3.98,57,9396,760,1
L077,12390.389879442668,12,7.01,31,3841,556,1
L078,36755.03834583956,36,10.45,27,11394,310,0
L079,23761.419383487293,36,7.23,55,7366,477,0
L080,32464.692462044,12,4.75,31,10064,692,1
L081,21835.602471738457,60,5.84,63,6769,593,0
L082,35229.22360671528,60,4.49,60,10921,696,0
L083,7471.008320955277,36,5.05,41,2316,688,0
L084,30493.714014676265,24,3.27,23,9453,836,1
L085,6693.58474351563,48,5.72,50,2075,565,0
L086,22803.349663572044,24,8.57,44,7069,432,0
L087,42703.45775164333,60,6.25,58,13238,577,1
L088,7106.490212031293,24,9.4,23,2203,400,0
L089,31919.528210644414,48,5.61,57,9895,703,1
L090,27635.63397479441,24,6.78,53,8567,583,1
L091,46709.93112583437,24,7.13,42,14480,576,0
L092,30516.294782485715,24,9.0,51,9460,438,0
L093,18629.133442796512,24,7.28,32,5775,520,0
L094,42374.42370641991,12,9.97,34,13136,368,0
L095,32509.8539976629,60,8.59,32,10078,476,0
L096,28787.253133076378,48,4.44,47,8924,672,1
L097,30903.39365921915,60,3.12,33,9580,844,1
L098,24380.777586260785,12,5.35,44,7558,600,1
L099,20500.11134700811,12,7.41,58,6355,527,0
L100,16293.636886504793,12,5.77,29,5051,671,0
L101,15042.01718506669,12,5.67,28,4663,698,1
L102,34267.928062827246,24,8.4,57,10623,442,0
L103,41790.549567346985,60,8.08,35,12955,436,0
L104,48332.52058414202,36,8.5,27,14983,355,0
L105,30271.13216055454,48,4.36,44,9384,681,0
L106,16651.70334748322,12,3.97,36,5162,770,1
L107,33513.08525319705,60,7.95,44,10389,507,0
L108,22832.38207932705,12,9.95,63,7078,334,0
L109,6574.229256522821,12,7.32,27,2038,565,0
L110,41000.22269401622,12,10.25,63,12710,320,0
L111,39735.699696687,12,7.55,48,12318,439,0
L112,35225.997782742495,12,5.98,22,10920,564,1
L113,45455.08560042349,48,4.8,54,14091,699,1
L114,16661.380819401555,60,3.56,58,5165,756,1
L115,21867.860711466245,12,7.76,23,6779,419,0
L116,26406.595041165758,12,4.64,21,8186,682,1
L117,46513.155863494874,12,3.0,51,14419,834,1
L118,13303.298063739016,12,9.54,43,4124,338,0
L119,30319.51952014622,24,9.41,40,9399,321,0
L120,19787.204249024035,24,8.77,36,6134,346,0
L121,26754.98403022585,36,3.0,52,8294,838,1
L122,18616.230146905396,12,5.0,37,5771,683,1
L123,24316.261106805214,36,4.07,38,7538,781,1
L124,16958.15662489719,48,10.23,24,5257,347,0
L125,27293.696633679876,36,8.38,55,8461,380,0
L126,43219.58958728791,60,8.38,60,13398,344,0
L127,23832.38751088842,24,6.92,56,7388,574,0
L128,31935.657330508307,24,5.47,43,9900,610,1
L129,41258.28861183851,12,6.96,35,12790,531,0
L130,47184.12724983283,12,9.43,33,14627,385,0
L131,43564.75275237522,48,7.65,34,13505,404,0
L132,10464.572967693834,48,6.96,34,3244,476,0
L133,46061.54050730587,60,6.72,57,14279,488,0
L134,8571.014295672785,12,8.6,25,2657,359,0
L135,42442.16600984826,12,6.48,42,13157,519,0
L136,11932.322875308104,48,8.07,48,3699,415,0
L137,20825.91956825875,48,4.51,24,6456,769,1
L138,26025.947812377883,48,6.88,58,8068,466,0
L139,32409.853454506763,24,3.47,49,10047,744,1
L140,42693.780279725,36,7.1,57,13235,532,0
L141,47148.64318613226,36,8.5,55,14616,413,0
L142,38680.855257588395,12,3.49,40,11991,807,1
L143,25687.236295236125,24,8.03,55,7963,450,0
L144,26564.66041583191,48,5.75,55,8235,669,1
L145,21080.759662108263,12,5.68,40,6535,648,1
L146,29913.065699576113,24,7.71,22,9273,466,0
L147,44574.435655854926,60,8.15,38,13818,371,0
L148,45706.699870300225,24,6.42,50,14169,652,1
L149,12825.87611576778,12,9.23,62,3976,310,0
L150,32055.012817501116,36,8.71,49,9937,452,0
L151,18287.19610168198,48,7.62,59,5669,461,0
L152,19974.302039445196,60,5.43,42,6192,685,1
L153,9474.245008050797,24,8.0,49,2937,443,0
L154,24503.358897226375,12,7.86,30,7596,438,0
L155,10609.735046468872,12,7.54,40,3289,505,0
L156,21516.245898433375,48,8.76,36,6670,395,0
L157,13387.16948703126,12,4.9,26,4150,655,0
L158,30390.48764754735,12,3.67,37,9421,770,1
L159,34529.21980462231,48,4.98,26,10704,617,1
L160,48235.745864958655,60,3.0,42,14953,811,1
L161,11341.997088289618,36,9.32,38,3516,318,0
L162,39593.763441884745,36,5.67,52,12274,712,1
L163,10980.704803338413,24,4.85,48,3404,706,1
L164,20942.04923127878,60,5.26,62,6492,701,1
L165,26354.9818576013,24,8.97,30,8170,400,0
L166,39106.66402199517,36,10.62,61,12123,317,0
L167,38958.276119247355,48,8.06,42,12077,454,0
L168,14042.01175350532,12,8.45,48,4353,428,0
L169,45158.30979492786,36,5.55,35,13999,614,1
L170,41735.71055980975,60,5.56,63,12938,665,1
L171,8322.625849768832,36,4.63,49,2580,761,0
L172,40013.12055834597,60,7.08,27,12404,460,0
L173,17190.415950937248,60,5.15,54,5329,675,0
L174,33203.406151810304,60,5.58,52,10293,631,0
L175,21129.14702169994,24,8.86,22,6550,319,0
L176,46709.93112583437,48,3.0,46,14480,845,1
L177,45271.21363397511,36,4.18,31,14034,761,1
L178,16009.764376900275,48,8.21,45,4963,457,0
L179,7412.943489445262,12,4.92,39,2298,663,0
L180,19729.13941751402,36,5.8,40,6116,622,1
L181,6593.584200359493,48,9.24,53,2044,388,0
L182,31119.523865395317,48,7.57,37,9647,472,0
L183,14654.918308333257,12,10.27,50,4543,339,0
L184,18900.102656509916,60,6.41,38,5859,502,0
L185,21864.634887493467,36,6.37,52,6778,542,0
L186,20625.918481946475,36,3.0,60,6394,805,1
L187,17909.77469686688,12,8.87,24,5552,387,0
L188,16629.12257967377,60,3.0,52,5155,831,1
L189,42977.65278932951,36,8.48,39,13323,450,0
L190,7377.459425744697,36,9.47,23,2287,399,0
L191,18403.32576470201,36,6.21,58,5705,546,0
L192,8116.173115511,60,3.99,48,2516,836,0
L193,13551.68650964297,12,3.95,58,4201,795,1
L194,27667.8922145222,36,5.67,26,8577,588,1
L195,47190.57889777839,48,5.17,60,14629,714,1
L196,32587.273773009587,60,8.08,37,10102,378,0
L197,46364.76796074706,24,5.46,62,14373,684,1
L198,18251.712037981415,12,5.14,25,5658,737,1
L199,28780.801485130818,48,4.19,39,8922,827,1
L200,20277.529492886384,36,4.73,63,6286,640,1
L201,43597.01099210301,24,8.27,62,13515,358,0
L202,46026.0564436053,12,3.95,55,14268,843,1
L203,19148.49110241387,60,7.73,42,5936,518,0
L204,36648.586154737866,24,9.19,44,11361,399,0
L205,9645.213678608065,24,9.09,30,2990,402,0
L206,22487.218914239736,48,8.83,22,6971,418,0
L207,44829.27574970444,12,10.03,48,13897,306,0
L208,31358.234839380933,48,5.66,61,9721,687,1
L209,12422.648119170453,48,3.0,57,3851,777,1
L210,32867.920458641325,36,3.84,37,10189,821,1
L211,15190.405087814506,60,6.54,26,4709,580,0
L212,19377.52460448115,24,10.18,63,6007,341,0
L213,14906.532578209988,12,9.56,25,4621,395,0
L214,13477.492558269061,60,3.07,59,4178,803,0
L215,9154.888434745715,60,7.39,27,2838,545,0
L216,37893.75420823041,12,8.0,52,11747,523,0
L217,36819.554825295134,60,8.0,24,11414,413,0
L218,22367.863427246928,36,3.79,41,6934,843,1
L219,39467.95630694638,60,5.94,62,12235,629,1
L220,37500.20368355142,36,3.39,52,11625,802,1
L221,32593.725420955147,24,8.62,38,10104,452,0
L222,30122.744257806724,24,7.92,53,9338,516,0
L223,10219.410345762659,48,3.34,34,3168,788,0
L224,30155.00249753451,36,7.08,26,9348,571,1
L225,9506.503247778584,24,3.99,31,2947,699,0
L226,6967.7797812018125,60,5.35,40,2160,649,0
L227,47584.12942245738,12,3.75,49,14751,721,1
L228,42977.65278932951,12,6.21,55,13323,560,1
L229,14925.88752204666,36,4.3,36,4627,818,1
L230,14629.111716551028,48,7.06,27,4535,563,0
L231,13780.720011710251,60,6.42,60,4272,617,1
L232,17622.676363289585,36,7.71,56,5463,415,0
L233,21948.50631078571,12,7.39,64,6804,511,0
L234,6967.7797812018125,36,7.67,64,2160,459,0
L235,12206.517912994286,60,4.39,51,3784,776,1
L236,39148.59973364129,24,7.35,62,12136,447,0
L237,27735.634517950548,60,3.86,64,8598,746,1
L238,16716.21982693879,24,9.71,63,5182,377,0
L239,45697.02239838189,24,5.95,63,14166,561,0
L240,18142.03402290694,24,9.5,26,5624,351,0
L241,44955.082884642805,36,6.29,49,13936,557,1
L242,35348.57909370808,12,5.95,47,10958,547,0
L243,12990.39313837949,36,5.73,63,4027,587,1
L244,45800.248765510805,12,7.45,22,14198,553,1
L245,33471.14954155093,60,8.03,42,10376,513,0
L246,12567.810197945491,48,8.58,29,3896,391,0
L247,43506.6879208652,60,3.33,31,13487,843,1
L248,14206.52877611703,36,7.03,36,4404,531,0
L249,14642.015012442142,36,9.28,33,4539,312,0
L250,8812.951093631182,12,3.0,38,2732,832,0
L251,38106.6585904338,36,4.38,45,11813,744,1
L252,8312.948377850496,24,3.99,53,2577,802,0
L253,13422.653550731824,36,3.01,30,4161,825,1
L254,34093.733568297204,12,5.21,50,10569,705,1
L255,18864.61859280935,12,4.01,21,5848,843,1
L256,10671.025701951665,24,5.34,53,3308,587,1
L257,46400.252024447625,12,3.89,35,14384,725,1
L258,9164.565906664051,48,5.27,49,2841,735,0
L259,13454.911790459611,60,8.02,22,4171,380,0
L260,33377.60064634035,36,4.32,31,10347,787,1
L261,26622.725247341925,48,7.86,54,8253,481,0
L262,46258.31576964536,36,4.51,61,14340,657,1
L263,38367.950332228866,48,5.7,39,11894,554,1
L264,41377.64409883132,36,7.82,22,12827,465,0
L265,17371.062093412853,24,3.31,40,5385,764,1
L266,22003.345318322947,12,7.43,61,6821,555,1
L267,25203.362699319332,12,4.56,51,7813,722,1
L268,11009.73721909342,24,6.88,24,3413,497,0
L269,6593.584200359493,48,6.56,49,2044,512,0
L270,11890.387163661982,60,4.0,50,3686,824,0
L271,23342.06226702607,48,9.67,33,7236,351,0
L272,39874.41012751649,12,7.01,35,12361,564,1
L273,27822.73176521557,60,5.0,40,8625,624,0
L274,43332.49342633516,36,10.05,54,13433,306,0
L275,15242.018271378965,60,10.08,48,4725,343,0
L276,37467.945443823635,48,8.27,40,11615,471,0
L277,32287.272143541177,24,7.85,45,10009,401,0
L278,19400.105372290604,36,7.09,47,6014,595,1
L279,25096.91050821764,48,6.46,50,7780,504,0
L280,21274.309100474977,36,3.86,61,6595,790,1
L281,33113.083080572505,60,6.8,40,10265,617,1
L282,16187.184695403099,12,8.39,21,5018,470,0
L283,26748.532382280293,48,7.52,55,8292,517,0
L284,11483.933343091876,24,4.34,63,3560,800,1
L285,35751.80709030541,60,7.82,44,11083,492,0
L286,42980.87861330229,48,4.83,45,13324,632,1
L287,38971.17941513847,24,7.68,60,12081,452,0
L288,36896.97460064182,48,9.45,32,11438,322,0
L289,45142.180675063966,60,7.28,31,13994,515,0
L290,7974.236860708741,48,8.81,50,2472,342,0
L291,23984.001237609016,36,6.14,33,7435,660,1
L292,13603.299693207427,60,4.17,45,4217,713,0
L293,35135.6747115047,48,4.98,45,10892,717,1
L294,39584.08596996641,12,6.69,37,12271,615,0
L295,6619.390792141722,48,4.98,32,2052,729,0
L296,16087.184152246962,36,3.0,31,4987,798,0
L297,33322.76163880311,24,6.43,30,10330,648,1
L298,37384.07402053139,24,8.13,37,11589,374,0
L299,13345.233775385139,24,6.38,36,4137,532,0
L300,9119.40437104515,12,8.69,40,2827,337,0
L301,39596.98926585752,36,6.95,25,12275,561,1
L302,32787.274859321864,60,4.93,61,10164,745,1
L303,42477.65007354883,24,6.71,52,13168,511,0
L304,10477.476263584947,36,5.12,47,3248,757,1
L305,47874.45358000745,48,5.64,24,14841,581,1
L306,22048.506853941846,12,6.94,61,6835,505,0
L307,46955.093747765546,36,9.81,27,14556,304,0
L308,33474.37536552371,36,7.47,34,10377,542,0
L309,17554.934059861233,60,7.79,59,5442,447,0
L310,30329.196992064557,36,5.21,44,9402,622,1
L311,16751.703890639357,60,4.98,38,5193,686,0
L312,22348.508483410256,12,4.93,58,6928,692,0
L313,37432.46138012307,12,5.79,59,11604,549,0
L314,43161.52475577789,48,3.58,60,13380,727,1
L315,30955.00684278361,60,4.83,21,9596,668,1
L316,15858.150650179681,60,4.78,37,4916,746,1
L317,36151.80926292996,24,9.34,46,11207,321,0
L318,21087.21131005382,24,3.0,42,6537,849,1
L319,46213.154234026464,48,3.0,59,14326,838,1
L320,29196.932777619262,12,5.92,38,9051,581,0
L321,24661.424271892527,24,6.36,58,7645,578,1
L322,20196.88389356692,36,7.57,48,6261,419,0
L323,12693.617332883858,12,5.75,41,3935,552,1
L324,32390.49851067009,36,3.18,58,10041,776,1
L325,37613.10752259867,60,9.55,53,11660,364,0
L326,21090.437134026597,12,6.03,50,6538,602,1
L327,20729.144849075394,48,5.82,62,6426,616,1
L328,10832.316900590595,60,6.75,28,3358,473,0
L329,12158.130553402607,60,5.12,50,3769,714,1
L330,41784.09791940142,36,6.04,59,12953,559,1
L331,42174.42262010764,60,5.51,29,13074,584,0
L332,36713.10263419344,24,9.66,53,11381,372,0
L333,10296.830121109346,12,8.87,63,3192,378,0
L334,15535.56825290182,24,9.84,49,4816,343,0
L335,26667.886782960824,36,10.49,51,8267,302,0
L336,44558.30653599103,36,5.28,23,13813,742,1
L337,29113.061354327016,12,9.15,58,9025,378,0
L338,22116.2491573702,60,4.31,31,6856,676,0
L339,23280.771611543278,48,8.27,25,7217,438,0
L340,9812.956525192552,36,9.82,51,3042,306,0
L341,23364.64303483552,12,3.0,40,7243,812,1
L342,33603.40832443485,48,8.54,24,10417,376,0
L343,39258.277748715765,60,9.17,28,12170,342,0
L344,28242.08888167679,36,7.25,62,8755,456,0
L345,27313.051577516548,12,3.0,55,8467,829,1
L346,19280.74988529779,12,7.65,33,5977,519,0
L347,45235.72957027455,12,8.22,25,14023,489,0
L348,41406.676514586325,36,6.07,60,12836,561,1
L349,12525.87448629937,48,7.1,39,3883,443,0
L350,8193.592890857686,12,4.6,38,2540,784,0
L351,34958.25439300187,60,5.68,53,10837,577,0
L352,22854.9628471365,12,5.86,24,7085,606,0
L353,21938.82883886737,48,3.0,38,6801,849,1
L354,21696.892040908977,36,7.27,44,6726,455,0
L355,29103.38388240868,12,6.34,63,9022,599,0
L356,46703.47947788882,12,6.39,49,14478,646,1
L357,11896.838811607538,60,4.63,51,3688,722,1
L358,35632.451603312606,60,5.51,48,11046,725,1
L359,27851.76418097058,12,8.74,29,8634,341,0
L360,7754.880830559795,12,6.63,46,2404,615,0
L361,17235.57748655615,60,8.44,22,5343,376,0
L362,31648.55899693101,48,8.19,26,9811,395,0
L363,29090.480586517566,24,5.84,49,9018,562,1
L364,40867.9639111323,24,8.05,46,12669,504,0
L365,34551.80057243176,12,6.74,48,10711,587,1
L366,42361.5204105288,60,6.28,27,13132,562,1
L367,10990.382275256748,36,5.65,54,3407,614,1
L368,35522.77358823813,36,5.96,30,11012,668,1
L369,29129.19047419091,24,7.59,61,9030,551,1
L370,30190.486561235077,48,5.93,60,9359,632,1
L371,44729.2752065483,24,4.38,42,13866,725,1
L372,21064.63054224437,12,5.31,47,6530,594,0
L373,32025.98040174611,48,5.58,59,9928,584,1
L374,45248.63286616566,36,5.21,42,14027,616,0
L375,19571.074042847868,60,3.04,39,6067,811,1
L376,26471.11152062133,60,9.04,56,8206,328,0
L377,43480.88132908298,12,6.3,29,13479,593,1
L378,13487.170030187397,24,10.69,39,4181,306,0
L379,48084.13213823806,12,3.84,22,14906,841,1
L380,16877.51102557772,60,7.22,48,5232,514,0
L381,34245.3472950178,36,6.23,59,10616,514,0
L382,11454.900927336868,60,6.97,42,3551,463,0
L383,7603.2671038392,48,8.48,26,2357,469,0
L384,43993.787340754774,60,6.69,27,13638,520,0
L385,11593.611358166349,60,6.27,26,3594,559,1
L386,22993.67327796598,48,5.9,53,7128,560,1
L387,36135.68014306606,24,3.43,34,11202,771,1
L388,33509.85942922427,60,6.19,21,10388,554,1
L389,36209.874094439976,12,6.24,45,11225,577,1
L390,35655.032371122055,60,9.83,26,11053,323,0
L391,7574.234688084192,12,4.18,48,2348,732,0
L392,45061.5350757445,48,3.81,38,13969,777,1
L393,11800.06409242418,60,3.08,47,3658,793,1
L394,34729.220890934586,48,4.23,22,10766,681,1
L395,12319.421752041539,48,4.91,60,3819,673,0
L396,27325.954873407663,24,4.97,41,8471,622,1
L397,25422.71872946828,60,8.37,43,7881,388,0
L398,27919.506484398928,12,9.41,22,8655,391,0
L399,35877.61422524378,12,4.91,36,11122,676,1
L400,19380.75042845393,60,8.26,24,6008,380,0
L401,25945.302213058414,24,9.44,54,8043,399,0
L402,47980.905771109145,24,8.63,25,14874,422,0
L403,8009.720924409306,24,5.91,54,2483,695,0
L404,19071.071327067184,12,9.2,42,5912,322,0
L405,7603.2671038392,48,3.0,40,2357,818,0
L406,47329.28932860787,24,6.02,59,14672,576,1
L407,33693.73139567265,12,9.32,33,10445,394,0
L408,45761.53887783746,12,4.42,64,14186,681,0
L409,35567.93512385703,48,4.66,54,11026,676,1
L410,10290.378473163788,60,9.98,64,3190,324,0
L411,38371.17615620165,60,6.73,26,11895,590,1
L412,21174.30855731884,24,7.97,49,6564,526,0
L413,25738.849478800585,24,8.69,53,7979,472,0
L414,34464.703325166745,48,4.55,21,10684,752,1
L415,17448.48186875954,24,6.01,27,5409,587,1
L416,46251.86412169981,48,8.93,42,14338,368,0
L417,42964.7494934384,12,6.25,52,13319,580,1
L418,39716.34475285033,24,5.39,34,12312,641,0
L419,45345.407585349014,12,5.4,44,14057,632,1
L420,33042.114953171375,36,4.4,39,10243,685,1
L421,33719.53798745488,48,5.34,47,10453,641,1
L422,42561.52149684107,36,6.86,43,13194,616,0
L423,12606.520085618835,24,6.81,41,3908,606,1
L424,18213.00215030807,12,7.96,64,5646,472,0
L425,31338.87989554426,24,3.0,49,9715,843,1
L426,14119.431528852007,36,8.14,21,4377,499,0
L427,43826.04449417029,24,8.57,51,13586,374,0
L428,20438.820691525318,60,7.27,47,6336,516,0
L429,23884.00069445288,36,4.06,64,7404,831,1
L430,25671.10717537223,24,3.94,56,7958,748,1
L431,11693.611901322487,12,10.63,47,3625,306,0
L432,23929.16223007178,24,4.45,35,7418,692,1
L433,36838.9097691318,12,5.92,45,11420,685,1
L434,20600.111890164248,60,3.34,35,6386,800,1
L435,26948.533468592566,24,7.8,60,8354,446,0
L436,10932.317443746733,60,6.04,39,3389,615,1
L437,25513.04180070608,36,3.91,31,7909,753,1
L438,11248.448193079037,12,7.45,61,3487,486,0
L439,27422.729592591022,36,5.83,53,8501,624,0
L440,35832.45268962488,12,5.89,61,11108,617,0
L441,39784.08705627868,60,5.88,43,12333,693,1
L442,8741.982966230053,48,4.71,32,2710,678,0
L443,12535.551958217706,24,3.53,22,3886,773,1
L444,13600.07386923465,60,10.34,63,4216,317,0
L445,10709.735589625008,12,7.81,41,3320,448,0
L446,31955.01227434498,12,8.88,34,9906,311,0
L447,41145.38477279126,12,4.08,54,12755,761,1
L448,20790.435504558187,12,7.99,35,6445,459,0
L449,22035.60355805073,24,6.8,41,6831,565,1
L450,41348.61168307631,36,3.0,43,12818,846,1
L451,31667.91394076768,48,9.83,41,9817,379,0
L452,28980.802571443095,24,3.89,34,8984,817,1
L453,34167.92751967111,12,9.48,41,10592,367,0
L454,8871.015925141197,24,7.58,32,2750,543,0
L455,24496.907249280815,60,8.83,62,7594,308,0
L456,29584.031654352697,12,8.15,25,9171,456,0
L457,30616.29532564185,48,4.72,22,9491,763,1
L458,12538.777782190484,12,5.21,42,3887,599,0
L459,18338.809285246436,48,6.4,26,5685,619,1
L460,11025.866338957312,48,7.75,64,3418,548,0
L461,14848.467746699973,36,6.04,22,4603,622,1
L462,18616.230146905396,36,3.96,49,5771,761,1
L463,22903.35020672818,24,4.82,56,7100,697,1
L464,39387.310707626915,24,5.33,27,12210,692,0
L465,39445.37553913693,48,7.18,36,12228,527,0
L466,38184.078365780486,12,7.41,53,11837,543,0
L467,17700.096138636272,60,9.02,53,5487,356,0
L468,35500.19282042868,60,7.93,34,11005,442,0
L469,25516.267624678858,12,7.98,63,7910,491,0
L470,26800.14556584475,12,3.69,32,8308,818,1
L471,21719.472808718427,36,5.39,63,6733,703,1
L472,16674.28411529267,60,7.22,26,5169,574,1
L473,9751.66586970976,48,8.93,32,3023,338,0
L474,37745.366305482596,24,7.11,51,11701,492,0
L475,39451.82718708248,36,5.85,32,12230,626,1
L476,10945.220739637847,60,4.71,30,3393,782,1
L477,23351.73973894441,12,10.24,60,7239,324,0
L478,14019.43098569587,60,8.55,47,4346,401,0
L479,9209.72744228295,48,7.32,27,2855,516,0
L480,36638.90868281953,36,6.97,56,11358,566,0
L481,15335.567166589544,12,7.91,53,4754,461,0
L482,11822.644860233631,48,5.5,47,3665,586,0
L483,19477.52514763729,24,6.51,28,6038,546,0
L484,39238.9228048791,36,6.81,25,12164,473,0
L485,18345.260933191996,48,5.28,28,5687,695,1
L486,10051.667499178171,48,9.45,60,3116,308,0
L487,43742.173070878045,12,4.76,41,13560,747,1
L488,21103.340429917713,24,5.73,44,6542,620,0
L489,8816.17691760396,48,7.42,27,2733,424,0
L490,45080.89001958117,36,9.13,39,13975,340,0
L491,15874.279770043573,48,5.11,51,4921,636,1
L492,43616.36593593968,60,5.24,56,13521,625,1
L493,47771.22721287854,36,7.32,47,14809,485,0
L494,38380.853628119985,36,7.83,49,11898,540,0
